Stock,Date,Volume,BuyPrice,CurrentPrice,TakeProfit,StopLoss,Upnl,SellPrice,Pnl,Closed,DoubleTop,Fee
BFC,2017-10-31,2900,35.1,34.3,36.5,36.2,-2721.3600000000124,0.0,0,0,0,401.36
KDH,2017-10-31,4100,26.791,29.5,31.0426,28.8,10639.760349999999,0.0,0,0,0,467.13964999999996
PVT,2017-10-31,12260,15.85,16.4,22.95,15.1,5948.8584999999875,0.0,0,0,0,794.1415
VNM,2017-10-31,1900,149.8,185.0,200.0,175.0,65574.31999999999,0.0,0,0,0,1305.68
FPT,2017-10-31,500,49.7,57.9,61.2,57.0,3990.349999999998,0.0,0,0,0,109.64999999999999
PNJ,2017-11-14,1910,119.0,123.4,136.85,116.1,7473.830000000011,0.0,0,0,0,930.17
CTG,2017-11-21,9010,21.354,23.4,24.642516,20.195999999999998,17618.775689999995,0.0,0,0,0,815.68431
MSN,2017-11-21,1620,62.0,64.3,71.548,61.0,3314.9249999999956,0.0,0,0,0,411.07500000000005
IDI,2017-11-23,12000,11.4,12.85,13.0,11.0,16809.299999999992,0.0,0,0,0,590.7
TDC,2017-11-22,400,8.8,8.6,10.1552,8.5,-93.88000000000042,0.0,0,0,0,13.88
