Stock,Date,Volume,BuyPrice,CurrentPrice,TakeProfit,StopLoss,Upnl,SellPrice,Pnl,Closed,DoubleTop,Fee
BFC,10/31/2017,2900,35.1,35.2,36.5,36.2,-117.885,0,0,0,0,407.885
KDH,10/31/2017,4100,26.791,29.15,31.0426,25.9,9208.34785,0,0,0,0,463.55215
PVT,10/31/2017,12260,15.85,16.65,22.95,15.1,9006.196,0,0,0,0,801.804
VNM,10/31/2017,1900,149.8,187,200,175,69364.82,154.9,0,1,0,1315.18
APC,10/31/2017,250,61.8,68.8,71.2,62.5,1683.825,69.9,0,1,0,66.175
FPT,10/31/2017,500,49.7,57.9,61.2,55.9,3990.35,58.7,0,1,0,109.65
PNJ,11/14/2017,1910,119,124,136.85,116.1,8616.965,0,0,0,0,933.035
CTG,11/21/2017,9010,21.354,23.3,24.642516,20.196,16720.02819,0,0,0,0,813.43181
MSN,11/21/2017,1620,62,65.2,71.548,61,4769.28,0,0,0,0,414.72
IDI,11/23/2017,12000,11.4,12.7,14,11,15013.8,0,0,0,0,586.2
TDC,11/22/2017,400,8.8,8.7,10.1552,8.5,-53.98,8.6,0,1,0,13.98
PVB,11/27/2017,1100,18.4,18.1,21.3,17.7,,0,0,0,0,
PVC,11/27/2017,44200,11.271,10.8,13.1,10.70745,,0,0,0,0,
IDI,11/27/2017,10000,12.75,12.8,14,11.9,,0,0,0,0,
PNJ,11/27/2017,2800,122.4,122,136.85,116.1,,0,0,0,0,
PC1,11/27/2017,13000,37.5,37.45,43.05,36.7,,0,0,0,0,
SHS,11/28/2017,15000,19.533,19.4,22.541082,18.55635,,0,0,0,0,
PPC,11/29/2017,4250,23.45,23.4,27.1,22.3,,0,0,0,0,
IDI,11/29/2017,10000,12,11.65,13.85,11.6,,0,0,0,0,
SBA,11/29/2017,3000,16.7,16.8,19.3,16.5,,0,0,0,0,
