stock,STT,indicator,2017,2016,2015,2014,2013
AAA,1,Tài sản ngắn hạn/Tổng tài sản,40%,44%,55%,49%,43%
AAA,2,Tài sản dài hạn/Tổng tài sản,60%,56%,45%,51%,57%
AAA,3,Nợ phải trả/Tổng nguồn vốn,68%,69%,58%,45%,52%
AAA,4,Nợ phải trả/Vốn chủ sở hữu,209%,222%,139%,81%,110%
AAA,5,Vốn chủ sở hữu/Tổng nguồn vốn,32%,31%,42%,55%,47%
AAA,6,Thanh toán hiện hành,103%,119%,161%,137%,96%
AAA,7,Thanh toán nhanh,67%,80%,129%,110%,57%
AAA,8,Thanh toán nợ ngắn hạn,16%,36%,70%,66%,25%
AAA,9,Vòng quay Tổng tài sản,34%,85%,96%,121%,113%
AAA,10,Vòng quay tài sản ngắn hạn,83%,176%,183%,262%,249%
AAA,11,Vòng quay vốn chủ sở hữu,100%,242%,201%,235%,216%
AAA,12,Vòng quay Hàng tồn kho,233%,553%,810%,816%,495%
AAA,13,Lợi nhuận trước thuế/Doanh thu thuần,8%,8%,3%,4%,6%
AAA,14,Lợi nhuận sau thuế/Doanh thu thuần,6%,7%,3%,3%,5%
AAA,15,Lợi nhuận trước thuế/Tổng tài sản (ROA),6%,5%,2%,3%,5%
AAA,16,Lợi nhuận sau thuế/Vốn chủ sở hữu (ROE),19%,15%,5%,6%,10%
AAA,1,Lợi nhuận trên vốn đầu tư (ROIC),7%,8%,3%,3%,6%
AAA,2,Tỷ lệ tăng trưởng doanh thu,98%,33%,3%,35%,14%
AAA,3,Lợi nhuận trên cổ phiếu (EPS),64%,255%,-15%,-14%,0%
AAA,4,Vốn chủ sở hữu,34%,17%,4%,45%,3%
AAA,5,Tiền mặt,11%,-13%,40%,159%,26%
AAA,1,Cổ tức tiền mặt,N/A,20%,7%,N/A,10%
AAA,2,Tăng trưởng giá cổ phiếu,42%,106%,11%,8%,36%
ACB,1,Tài sản ngắn hạn/Tổng tài sản,76%,77%,75%,70%,71%
ACB,2,Tài sản dài hạn/Tổng tài sản,24%,23%,25%,30%,29%
ACB,3,Nợ phải trả/Tổng nguồn vốn,94%,94%,94%,93%,92%
ACB,4,Nợ phải trả/Vốn chủ sở hữu,"1,652%","1,562%","1,475%","1,349%","1,232%"
ACB,5,Vốn chủ sở hữu/Tổng nguồn vốn,6%,6%,6%,7%,8%
ACB,6,Thanh toán hiện hành,84%,86%,82%,78%,81%
ACB,7,Thanh toán nhanh,84%,86%,82%,78%,81%
ACB,8,Thanh toán nợ ngắn hạn,2%,2%,2%,2%,1%
ACB,9,Vòng quay Tổng tài sản,1%,3%,3%,3%,3%
ACB,10,Vòng quay tài sản ngắn hạn,1%,4%,4%,4%,3%
ACB,11,Vòng quay vốn chủ sở hữu,15%,51%,47%,38%,35%
ACB,12,Vòng quay Hàng tồn kho,0%,0%,0%,0%,0%
ACB,13,Lợi nhuận trước thuế/Doanh thu thuần,35%,24%,22%,26%,24%
ACB,14,Lợi nhuận sau thuế/Doanh thu thuần,25%,19%,17%,20%,19%
ACB,15,Lợi nhuận trước thuế/Tổng tài sản (ROA),1%,1%,1%,1%,0%
ACB,16,Lợi nhuận sau thuế/Vốn chủ sở hữu (ROE),12%,9%,8%,8%,7%
ACB,1,Lợi nhuận trên vốn đầu tư (ROIC),11%,8%,7%,7%,5%
ACB,2,Tỷ lệ tăng trưởng doanh thu,30%,17%,23%,9%,-36%
ACB,3,Lợi nhuận trên cổ phiếu (EPS),58%,29%,8%,15%,-11%
ACB,4,Vốn chủ sở hữu,12%,10%,3%,-1%,-1%
ACB,5,Tiền mặt,19%,26%,12%,22%,-71%
ACB,1,Cổ tức tiền mặt,N/A,N/A,N/A,7%,7%
ACB,2,Tăng trưởng giá cổ phiếu,86%,-2%,34%,3%,-1%
ACM,1,Tài sản ngắn hạn/Tổng tài sản,40%,38%,27%,57%,71%
ACM,2,Tài sản dài hạn/Tổng tài sản,60%,62%,73%,43%,29%
ACM,3,Nợ phải trả/Tổng nguồn vốn,21%,21%,15%,43%,59%
ACM,4,Nợ phải trả/Vốn chủ sở hữu,26%,27%,18%,77%,142%
ACM,5,Vốn chủ sở hữu/Tổng nguồn vốn,79%,79%,85%,57%,41%
ACM,6,Thanh toán hiện hành,282%,263%,356%,205%,139%
ACM,7,Thanh toán nhanh,168%,173%,243%,173%,100%
ACM,8,Thanh toán nợ ngắn hạn,2%,9%,6%,5%,2%
ACM,9,Vòng quay Tổng tài sản,0%,19%,63%,34%,77%
ACM,10,Vòng quay tài sản ngắn hạn,0%,58%,180%,53%,108%
ACM,11,Vòng quay vốn chủ sở hữu,0%,23%,81%,71%,185%
ACM,12,Vòng quay Hàng tồn kho,0%,143%,560%,161%,347%
ACM,13,Lợi nhuận trước thuế/Doanh thu thuần,0%,8%,17%,14%,0%
ACM,14,Lợi nhuận sau thuế/Doanh thu thuần,0%,7%,17%,14%,0%
ACM,15,Lợi nhuận trước thuế/Tổng tài sản (ROA),-1%,1%,7%,5%,0%
ACM,16,Lợi nhuận sau thuế/Vốn chủ sở hữu (ROE),-1%,2%,8%,9%,0%
ACM,1,Lợi nhuận trên vốn đầu tư (ROIC),0%,8%,21%,20%,0%
ACM,2,Tỷ lệ tăng trưởng doanh thu,-100%,-54%,221%,-19%,-100%
ACM,3,Lợi nhuận trên cổ phiếu (EPS),-121%,-83%,281%,"11,750%",0%
ACM,4,Vốn chủ sở hữu,-1%,-3%,338%,10%,-100%
ACM,5,Tiền mặt,-43%,190%,-6%,22%,-100%
ACM,1,Cổ tức tiền mặt,N/A,N/A,3%,N/A,N/A
ACM,2,Tăng trưởng giá cổ phiếu,-26%,-52%,-60%,N/A,N/A
ACV,1,Tài sản ngắn hạn/Tổng tài sản,54%,48%,49%,43%,54%
ACV,2,Tài sản dài hạn/Tổng tài sản,46%,52%,51%,57%,46%
ACV,3,Nợ phải trả/Tổng nguồn vốn,47%,48%,54%,53%,51%
ACV,4,Nợ phải trả/Vốn chủ sở hữu,89%,93%,118%,114%,104%
ACV,5,Vốn chủ sở hữu/Tổng nguồn vốn,53%,52%,46%,47%,49%
ACV,6,Thanh toán hiện hành,296%,260%,268%,252%,212%
ACV,7,Thanh toán nhanh,292%,252%,259%,245%,206%
ACV,8,Thanh toán nợ ngắn hạn,18%,37%,55%,52%,28%
ACV,9,Vòng quay Tổng tài sản,7%,32%,30%,27%,29%
ACV,10,Vòng quay tài sản ngắn hạn,14%,66%,65%,56%,52%
ACV,11,Vòng quay vốn chủ sở hữu,14%,65%,64%,56%,60%
ACV,12,Vòng quay Hàng tồn kho,416%,"1,232%","1,543%","1,434%","1,449%"
ACV,13,Lợi nhuận trước thuế/Doanh thu thuần,45%,46%,17%,32%,33%
ACV,14,Lợi nhuận sau thuế/Doanh thu thuần,37%,36%,13%,25%,24%
ACV,15,Lợi nhuận trước thuế/Tổng tài sản (ROA),10%,11%,4%,6%,7%
ACV,16,Lợi nhuận sau thuế/Vốn chủ sở hữu (ROE),19%,22%,9%,13%,14%
ACV,1,Lợi nhuận trên vốn đầu tư (ROIC),62%,60%,18%,35%,31%
ACV,2,Tỷ lệ tăng trưởng doanh thu,-17%,11%,25%,10%,19%
ACV,3,Lợi nhuận trên cổ phiếu (EPS),53%,0%,0%,0%,0%
ACV,4,Vốn chủ sở hữu,19%,18%,1%,21%,14%
ACV,5,Tiền mặt,-62%,-29%,15%,55%,5%
ACV,1,Cổ tức tiền mặt,N/A,N/A,N/A,N/A,N/A
ACV,2,Tăng trưởng giá cổ phiếu,69%,39%,N/A,N/A,N/A
AGR,1,Tài sản ngắn hạn/Tổng tài sản,76%,74%,56%,65%,67%
AGR,2,Tài sản dài hạn/Tổng tài sản,24%,26%,44%,35%,33%
AGR,3,Nợ phải trả/Tổng nguồn vốn,2%,1%,8%,17%,42%
AGR,4,Nợ phải trả/Vốn chủ sở hữu,2%,1%,9%,21%,72%
AGR,5,Vốn chủ sở hữu/Tổng nguồn vốn,98%,99%,92%,83%,58%
AGR,6,Thanh toán hiện hành,"4,345%","10,174%",669%,620%,160%
AGR,7,Thanh toán nhanh,"4,345%","10,174%",669%,620%,160%
AGR,8,Thanh toán nợ ngắn hạn,682%,"1,603%",299%,124%,20%
AGR,9,Vòng quay Tổng tài sản,2%,7%,7%,9%,8%
