stock,STT,indicator,2017,2016,2015,2014,2013
AAA,3,Lợi nhuận trên cổ phiếu (EPS),0.64,2.55,-0.15,-0.14,0.00
ACB,3,Lợi nhuận trên cổ phiếu (EPS),0.58,0.29,0.08,0.15,-0.11
ACM,3,Lợi nhuận trên cổ phiếu (EPS),-1.21,-0.83,2.81,117.50,0.00
ACV,3,Lợi nhuận trên cổ phiếu (EPS),0.53,0.00,0.00,0.00,0.00
AGR,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,-5.40,1.14,-0.68
ALV,3,Lợi nhuận trên cổ phiếu (EPS),2.23,0.02,2.46,0.08,-0.33
AMD,3,Lợi nhuận trên cổ phiếu (EPS),-0.21,0.77,25.85,-0.86,49.50
ANV,3,Lợi nhuận trên cổ phiếu (EPS),0.00,3.41,-0.93,5.39,-0.72
APC,3,Lợi nhuận trên cổ phiếu (EPS),0.62,0.52,0.13,0.70,0.08
APG,3,Lợi nhuận trên cổ phiếu (EPS),-0.82,-1.00,2.06,0.65,9.14
APG,3,Lợi nhuận trên cổ phiếu (EPS),-0.82,-1.00,2.06,0.65,9.14
APS,3,Lợi nhuận trên cổ phiếu (EPS),2.67,-0.66,-0.68,0.82,0.07
ASA,3,Lợi nhuận trên cổ phiếu (EPS),-0.64,-0.03,0.19,1.07,0.41
ASM,3,Lợi nhuận trên cổ phiếu (EPS),-0.22,1.45,-0.09,3.99,0.43
ASP,3,Lợi nhuận trên cổ phiếu (EPS),14.64,9.71,-0.57,3.99,-0.23
ATA,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,-251.00,-0.41,-0.94
ATG,3,Lợi nhuận trên cổ phiếu (EPS),-0.63,1.26,0.00,0.00,0.00
ATS,3,Lợi nhuận trên cổ phiếu (EPS),-0.67,0.19,0.00,0.00,0.00
AVF,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,0.00,-40.76,-0.53
BAM,3,Lợi nhuận trên cổ phiếu (EPS),-1.07,-0.99,2.72,-0.79,0.00
BCC,3,Lợi nhuận trên cổ phiếu (EPS),-0.92,-0.11,0.78,0.00,-1.36
BCE,3,Lợi nhuận trên cổ phiếu (EPS),-0.20,-0.50,0.28,-0.61,0.02
BCG,3,Lợi nhuận trên cổ phiếu (EPS),0.05,-0.51,-0.09,154.33,0.00
BFC,3,Lợi nhuận trên cổ phiếu (EPS),0.19,0.21,-0.34,0.10,0.65
BGM,3,Lợi nhuận trên cổ phiếu (EPS),-0.91,8.12,-0.08,-0.81,-1.12
BHS,3,Lợi nhuận trên cổ phiếu (EPS),0.22,0.82,0.95,1.10,-0.67
BID,3,Lợi nhuận trên cổ phiếu (EPS),-0.11,-0.02,0.27,0.23,-1.00
BII,3,Lợi nhuận trên cổ phiếu (EPS),-0.40,0.15,-0.76,1.20,0.95
BMI,3,Lợi nhuận trên cổ phiếu (EPS),0.59,0.48,0.18,0.22,0.01
BMP,3,Lợi nhuận trên cổ phiếu (EPS),-0.34,0.25,0.33,0.02,0.04
BSI,3,Lợi nhuận trên cổ phiếu (EPS),1.29,0.12,0.35,3.98,-0.29
BT6,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,-1.00,0.36,-0.69
BVH,3,Lợi nhuận trên cổ phiếu (EPS),0.20,0.17,-0.13,0.09,-0.12
C32,3,Lợi nhuận trên cổ phiếu (EPS),-0.16,0.00,0.35,0.11,2.13
C47,3,Lợi nhuận trên cổ phiếu (EPS),-0.15,-0.73,0.22,0.43,0.00
CAV,3,Lợi nhuận trên cổ phiếu (EPS),0.19,0.43,0.28,0.74,-0.69
CCL,3,Lợi nhuận trên cổ phiếu (EPS),-0.34,0.99,0.03,0.05,-0.75
CDO,3,Lợi nhuận trên cổ phiếu (EPS),-0.95,-0.43,4.30,2.35,1.59
CEO,3,Lợi nhuận trên cổ phiếu (EPS),-0.08,0.53,0.21,0.85,4.38
CGP,3,Lợi nhuận trên cổ phiếu (EPS),-1.00,3.15,0.00,0.00,0.00
CHP,3,Lợi nhuận trên cổ phiếu (EPS),1.44,-0.21,0.54,0.31,-19.10
CIG,3,Lợi nhuận trên cổ phiếu (EPS),14.43,0.00,0.00,-29.76,-1.14
CII,3,Lợi nhuận trên cổ phiếu (EPS),1.27,0.36,0.62,3.73,-0.80
CMG,3,Lợi nhuận trên cổ phiếu (EPS),0.42,0.01,0.62,2.36,0.72
CMI,3,Lợi nhuận trên cổ phiếu (EPS),0.00,-3.43,-0.79,1.07,1.00
CNG,3,Lợi nhuận trên cổ phiếu (EPS),-0.08,-0.05,0.05,-0.09,0.05
CSM,3,Lợi nhuận trên cổ phiếu (EPS),-0.49,-0.10,-0.12,-0.08,0.42
CSV,3,Lợi nhuận trên cổ phiếu (EPS),0.33,0.27,-0.06,0.09,0.64
CTD,3,Lợi nhuận trên cổ phiếu (EPS),0.36,1.13,1.04,0.26,0.18
CTG,3,Lợi nhuận trên cổ phiếu (EPS),0.16,0.19,0.00,-0.01,-0.06
CTI,3,Lợi nhuận trên cổ phiếu (EPS),0.35,0.67,1.96,2.32,0.57
CVN,3,Lợi nhuận trên cổ phiếu (EPS),0.00,-0.52,0.00,0.00,-48.52
CYC,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,0.00,-1.45,1.32
DAG,3,Lợi nhuận trên cổ phiếu (EPS),0.24,0.37,0.37,0.04,0.18
DAH,3,Lợi nhuận trên cổ phiếu (EPS),0.69,0.00,0.00,0.00,0.00
DBC,3,Lợi nhuận trên cổ phiếu (EPS),-0.58,0.78,0.23,0.08,-0.23
DCL,3,Lợi nhuận trên cổ phiếu (EPS),0.22,0.49,0.57,0.08,0.86
DCM,3,Lợi nhuận trên cổ phiếu (EPS),0.26,-0.18,-0.08,0.55,-0.28
DCS,3,Lợi nhuận trên cổ phiếu (EPS),-0.72,0.51,3.39,-0.48,-1.38
