Industry,Stock,+/-,EPS,PE,ROA,ROE,Giá SS,P/B,Beta,totalVolume,NN,von
bds,VIC,77.2(-0.2),737,105,2%,6%,18.8,411%,1.3,"2,637,707,954","624,438,089(24%)","204,159"
bds,NVL,65.1(1.8),"2,278",27.8,3%,12%,21.1,299%,0.2,"622,828,788",0(0%),"39,425"
bds,REE,41.1(0.2),"5,439",7.5,13%,21%,27,152%,1.4,"305,056,367","151,928,832(50%)","12,681"
bds,SDI,87(-0.2),"4,963",17.5,5%,22%,22.1,394%,0,"287,989,920","58,486,842(20%)","10,440"
bds,KDH,27.4(-0.2),"1,431",19.2,6%,11%,20.5,134%,0,"336,000,000","88,200,000(26%)","9,240"
bds,PDR,35.7(-0.1),"1,865",19.1,4%,16%,11.8,302%,0.3,"221,990,923","98,886,885(45%)","7,925"
bds,HAG,7.4(-0.1),709,10.5,2%,6%,19.6,38%,1,"927,467,947","336,368,351(36%)","6,910"
bds,KBC,13.4(0),"1,236",10.8,4%,7%,19.3,69%,0.6,"469,760,512","233,098,471(50%)","6,375"
bds,DXG,21.5(0.9),"2,841",7.3,12%,27%,14.9,138%,1.1,"303,134,686","57,459,149(19%)","6,246"
bds,NHN,30(0),"12,251",2.4,7%,29%,51.6,58%,0,"200,000,000","98,000,000(49%)","6,000"
bds,DIG,20.6(0.2),346,59,1%,3%,11.9,171%,0.6,"238,194,819","113,530,461(48%)","4,859"
bds,NLG,30(-0.1),"3,400",8.9,9%,18%,22.9,131%,0.5,"157,226,409","69,636,109(44%)","4,733"
bds,FLC,6.9(-0.0),862,8.1,3%,7%,13.4,52%,0.5,"638,038,737","259,637,051(41%)","4,447"
bds,QCG,14.9(0.9),"1,571",8.9,4%,11%,14.9,94%,1.1,"275,129,310","134,813,361(49%)","3,852"
bds,SJS,30(-1),472,65.7,1%,2%,20.1,154%,0.5,"99,041,940","49,000,000(49%)","3,100"
bds,ITA,3.3(-0.0),65,50.2,0%,1%,11,30%,0.7,"937,883,609","410,765,520(44%)","3,059"
bds,HDG,34.3(0),"1,736",19.8,2%,10%,24.2,142%,0.2,"75,968,080","33,841,077(45%)","2,606"
bds,SCR,9.2(-0.1),410,22.7,1%,3%,14.6,64%,0.9,"243,872,424","106,363,875(44%)","2,268"
bds,IDI,10.9(-0.4),"1,294",8.7,4%,10%,13.1,86%,1.4,"181,609,671","88,988,738(49%)","2,043"
bds,NBB,18.9(-1.1),939,21.3,2%,6%,24.4,82%,1.4,"95,772,699","28,577,388(30%)","1,918"
bds,CEO,10(-0.1),"1,036",9.7,5%,12%,14.1,72%,0.4,"154,403,991","50,438,637(33%)","1,559"
bds,IJC,9.9(0.1),"1,367",7.1,2%,12%,11.9,82%,0.6,"137,097,323","134,355,317(98%)","1,337"
bds,HQC,2.6(0),203,13,1%,2%,9.6,27%,0.6,"476,600,000","209,034,000(44%)","1,258"
bds,TDH,14.7(0),"2,012",7.3,6%,9%,22,67%,0.6,"81,454,867","34,784,306(43%)","1,200"
bds,SGR,30(1),"7,038",4.1,21%,49%,14.3,203%,0,"39,599,989","6,468,000(16%)","1,148"
bds,SHN,9.7(0.1),888,10.8,5%,7%,13.7,70%,0.3,"123,436,278","20,755,596(17%)","1,129"
bds,DLG,3.6(-0.1),252,14.7,1%,2%,11.8,31%,1,"285,057,815","107,401,197(38%)","1,055"
bds,ITC,13.7(-0.3),"1,346",10.4,3%,6%,22.8,61%,-0.1,"68,646,328","33,852,477(49%)",967
bds,DRH,19(-0.3),"2,033",9.5,11%,15%,13.7,140%,-0.2,"48,714,150","24,010,000(49%)",943
bds,LCG,10.9(-0.1),"1,219",9,4%,10%,14,79%,-0.1,"78,000,000","37,362,478(48%)",858
bds,HDC,16.5(-0.1),"1,910",8.6,6%,13%,15.4,107%,0.5,"45,078,437","20,145,467(45%)",744
bds,TDC,7.4(0),"1,835",4,2%,17%,11.2,66%,-0.3,"100,000,000","49,000,000(49%)",738
bds,SZL,36.9(0.4),"4,941",7.4,6%,18%,27.8,131%,0.1,"18,190,900","9,800,000(54%)",730
bds,NTL,10.9(0.1),"1,852",5.8,7%,12%,15.4,70%,0.7,"60,989,950","31,164,000(51%)",687
bds,D2D,64(0),"5,624",11.4,4%,14%,40.3,159%,0.8,"10,654,984","5,243,000(49%)",685
bds,OGC,2.0(0.0),"-1,707",-1.2,-9%,-57%,3.2,63%,-0.3,"300,000,000","147,000,000(49%)",603
