stock,STT,indicator,2017,2016,2015,2014,2013
AAA,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.19,0.15,0.05,0.06,0.10
ACB,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.12,0.09,0.08,0.08,0.07
ACM,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.01,0.02,0.08,0.09,0.00
ACV,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.19,0.22,0.09,0.13,0.14
AGR,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.05,-0.25,-0.09,0.01,0.01
ALV,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.18,0.07,0.07,0.02,0.03
AMD,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.05,0.06,0.07,0.06,0.09
ANV,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.07,0.01,0.00,0.05,0.00
APC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.23,0.19,0.14,0.15,0.10
APG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.03,0.00,0.18,0.07,0.05
APG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.03,0.00,0.18,0.07,0.05
APS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.03,0.01,0.02,0.05,0.03
ASA,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.01,0.02,0.01,0.01,0.00
ASM,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.05,0.07,0.04,0.07,0.04
ASP,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.12,0.04,-0.05,0.01,0.05
ATA,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.00,0.00,1.41,-0.10,0.00
ATG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.02,0.00,0.03,0.34,0.54
ATS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.02,0.05,0.09,0.11,0.04
